-1.0,-0.23777077,-0.70954424,0.28925616,0.43725258,0.22400218,0.26312956,0.43732917,0.69274706
1.0,-0.28855586,-0.7044192,0.45206705,0.16999888,0.44876742,0.20200084,0.8964851,0.8964851
-1.0,-0.3372793,-0.70316094,0.1588733,0.42982408,0.7070538,0.45214427,0.8973643,0.8973643
0.9989442,-0.3459968,-0.7007636,0.6777227,0.64269423,0.9415291,0.9390748,0.64242786,0.6791837
1.0,-0.22392376,-0.71074057,0.6807244,0.17937446,0.23700298,0.38146695,0.27113006,0.26725483
1.0,-0.30676502,-0.7162839,0.67966044,0.19787557,0.9380737,0.9380737,0.4222376,0.6764889
-1.0,-0.34464955,-0.7043442,0.6874174,0.63103163,0.70747983,0.4519776,0.89358026,0.89558625
-1.0,-0.31333667,-0.7093128,0.67242795,0.8963885,0.9470935,0.9470935,0.89663893,0.89663893
1.0,-0.3150515,-0.69769025,0.4528899,0.43598807,0.93471736,0.93471736,0.8975601,0.89787954
1.0,-0.3880798,-0.7044874,0.6891844,0.6310151,0.93896997,0.93896997,0.6424761,0.68027395
