[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1];0.8117647;0.28627455;2.1559951;[1, 1, 1, 0, 0, 0, 1, 1];138.26205444335938
[1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1];0.654902;0.99215686;1.0225577;[0, 1, 1, 1, 1, 0, 0, 1];131.82034301757812
[1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1];0.78039217;-0.25490195;1.6385564;[1, 0, 1, 0, 0, 0, 0, 1];115.22135162353516
[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1];0.8117647;0.84313726;-2.229915;[1, 1, 1, 0, 0, 0, 1, 1];125.98748016357422
[1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1];0.654902;0.7411765;1.0225577;[0, 1, 1, 1, 1, 0, 0, 1];114.54962158203125
[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1];0.8117647;-0.25490195;1.6385564;[1, 0, 1, 0, 0, 0, 0, 1];101.25991821289062
[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1];0.78039217;0.28627455;2.1559951;[1, 1, 1, 0, 0, 0, 1, 1];129.44845581054688
[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1];0.8117647;0.28627455;2.1559951;[1, 1, 1, 0, 0, 0, 1, 1];138.26205444335938
[1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1];0.654902;0.99215686;1.0225577;[0, 1, 1, 1, 1, 0, 0, 1];131.82034301757812
[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1];0.78039217;0.28627455;2.1559951;[1, 1, 1, 0, 0, 0, 1, 1];129.44845581054688
